Region	Age	Length	PawCircumference	NoseBlack	Weight	Sex
0	0.3	44	2.2	0.002	22	female
0	0.4	47	2	0.006	13	male
0	1.1	51	2.7	0.011	30	female
0	1.2	53	2.8	0.056	155	female
0	1.2	47	2.8	0.049	93	male
0	3.6	68	3.6	0.01	269	female
0	4.1	70	3.5	0.185	259	female
0	4.3	69	3.9	0.169	278	female
0	4.4	67	3.3	0.222	265	female
0	4.6	70	3.7	0.302	266	female
0	6.7	75	3.7	0.434	309	male
0	7	66	3.4	0.392	257	female
0	7.3	68	3.9	0.351	262	female
0	7.5	69	3.6	0.443	278	female
0	8.1	68	3.6	0.474	275	female
0	8.3	70	4	0.612	259	female
0	8.6	71	3.6	0.604	263	female
0	8.6	75	3.9	0.656	341	male
0	9.3	66	3.4	0.614	233	female
0	9.4	74	4.7	0.758	342	male
0	11.1	68	3.3	0.641	273	female
0	14.7	68	3.4	0.896	265	female
0	17.3	69	3.4	0.977	269	female
0	18	68	3.6	0.99	271	female
0	1.6	56	2.9	0.082	95	male
0	1.7	52	2.9	0.039	153	female
0	1.7	58	2.8	0.009	222	female
0	2.6	80	4.3	0.009	349	male
0	2.6	78	4.3	0.172	413	male
1	1.3	53	3	0.021	131	female
1	1.4	52	2.8	0.056	118	male
1	1.9	69	3.5	0.04	271	female
1	3.5	67	3.7	0.017	271	female
1	3.7	65	3.5	0.103	253	female
1	4.2	67	3.6	0.114	272	female
1	5	66	3.7	0.249	269	female
1	5.3	69	3.3	0.352	263	female
1	6	67	3.3	0.064	260	female
1	6.9	69	3.3	0.366	263	female
1	7.2	65	3.3	0.28	239	female
1	8.3	71	4	0.42	286	female
1	9.3	69	3.4	0.619	261	female
1	9.4	78	4.8	0.438	370	male
1	9.6	68	3.5	0.693	268	female
1	10.4	70	4	0.722	280	female
1	10.9	72	3.9	0.746	285	female
1	11.7	70	3.5	0.754	269	female
1	13.2	69	3.9	0.834	280	female
1	0.8	47	2.6	0.036	65	female
1	0.8	55	2.8	0.017	122	male
1	0.9	52	2.8	0.038	92	male
1	15.1	70	3.9	0.945	287	female
1	17.7	70	3.5	0.941	271	female
1	2.3	72	4.9	0.036	325	male
1	2.9	69	3.8	0.071	303	female
1	16.7	73	4	0.95	348	male
1	13.2	72	3.9	0.835	274	female
2	3.4	77	4.7	0.075	362	male
2	3.8	73	3.8	0.15	356	male
2	4	70	4.1	0.199	279	male
2	5.4	75	3.5	0.368	394	male
2	6.1	69	3.4	0.23	264	female
2	6.8	68	3.3	0.489	275	female
2	7.5	80	4.3	0.553	426	male
2	8.5	69	3.5	0.511	260	female
2	10.5	70	3.3	0.677	257	female
2	10.9	66	3.6	0.596	259	female
2	11.7	69	3.6	0.76	260	female
2	2.3	60	3.1	0.032	180	female
3	2.1	55	3.3	0.012	148	male
3	3.1	70	3.7	0.161	270	female
3	3.1	80	4.5	0.011	395	male
3	3.3	68	3.6	0.234	257	female
3	3.5	69	3.7	0.153	304	male
3	5.4	68	3.8	0.189	265	female
3	6.5	68	3.7	0.216	269	female
3	6.8	76	4.3	0.347	389	male
3	6.9	71	3.3	0.417	263	female
3	7.6	74	4.2	0.353	360	male
3	8	66	3.6	0.409	252	female
3	8.1	69	3	0.441	253	female
3	9.6	72	4.5	0.583	352	male
3	10.9	78	4.6	0.746	414	male
3	14.8	68	3.5	0.822	266	female
3	2.9	64	3.5	0.081	203	male
3	17.2	76	4.8	0.99	350	male
3	5	76	4.4	0.072	347	male
4	3.5	80	3.9	0.267	320	male
4	3.7	72	3.8	0.151	294	male
4	4	81	4.3	0.201	382	male
4	4.1	76	4.7	0.142	306	male
4	5.8	75	4.6	0.327	358	male
4	5.9	69	3.7	0.414	263	female
4	5.9	78	4.6	0.373	424	male
4	5.9	77	4.4	0.286	383	male
4	6.1	78	4.1	0.214	358	male
4	7.4	77	4.1	0.559	359	male
4	9.1	74	3.8	0.601	376	male
4	9.9	78	4.5	0.562	371	male
4	11.6	70	3.2	0.754	267	female
4	13.6	80	4.9	0.867	458	male
4	14	73	4.7	0.879	299	male
4	13.8	70	3.2	0.891	251	female
4	12	75	4.7	0.67	376	male
4	15.1	73	3.7	0.857	387	male
4	18.4	78	5	0.99	440	male
5	3.2	85	4.9	0.025	460	male
5	3.9	78	4.7	0.072	398	male
5	4.3	77	3.7	0.163	354	male
5	4.6	77	5.3	0.165	418	male
5	6.4	75	3.8	0.333	333	male
5	7.2	72	4.7	0.446	347	male
5	7.5	78	4.5	0.376	383	male
5	10.2	70	4.1	0.488	270	male
5	10.3	70	4	0.75	309	male
5	11.1	73	3.6	0.674	369	male
5	12.3	66	3.5	0.817	234	female
5	15.3	66	3.6	0.9	267	female
5	14.7	80	4.3	0.866	403	male
5	18.6	77	5	1	400	male
