Region	Age	Weight	Length	PawCircumference	NoseBlack	Sex
0	20	270	69	3.7	0.966	female
0	12.8	277	70	3.8	0.753	female
0	11.3	274	70	3.5	0.743	female
0	15.8	271	70	3.8	0.936	female
0	8.9	272	69	3.3	0.563	female
0	3.9	259	69	3.6	0.059	female
0	8.6	276	71	3.7	0.392	female
0	14.4	260	70	3.8	0.887	female
0	8.5		70	3.4	0.61	female
0	12.6	265	67	3.5	0.784	female
0	8.8	261	70	3.2	0.587	female
0	5.3	272	70	3.8	0.244	female
0	3.4	259	70	3.4	0.008	female
0	11.8	256	67	3.7	0.752	female
0	9.5		71	3.8	0.596	female
0	7.3	288	70	3.6	0.436	female
0	3.3	284	68	3.5	0.014	female
0	9.4	272	68	3.7	0.457	female
0	6.8	262		3.6	0.386	female
0	7.1	264	68	3.4	0.376	female
0	7.9	253	71	2.9	0.456	female
0	9.1	252	68	3.6	0.655	female
0	6	262	68	3.1	0.381	female
0	12.4	269	69	3.6	0.852	female
0		269	69	3.7	0.959	female
0	6.6	255	71	3.2	-0.333	female
1	17.4	283	71	3.8	0.94	female
1	6.5	257	67	3.8	0.348	female
1	14.9		68	3.9	0.944	female
1	16.2	262	66	3.7	0.954	female
1		277	68	3.6	0.835	female
1	12.7	258	69	3.4	0.797	female
1	7.6	265	67	3.3	0.42	female
1	4.7	269	68	3.5	0.165	female
1	3.6	262	69	3.3	0.068	female
1	11.9	243	66	3.4	0.831	female
1	11.8	263	68	3.6	0.926	female
1	7.1	261	70	3.9	0.482	female
1	5.6	260	69	3.3	0.324	female
1	6.9	267	70	3.5	0.414	female
1	14	249	68	3.3	0.88	female
1	13.4	276	68	3.8	0.83	female
1	13.5	262	69	3.5	0.87	female
1	4.8	265	69	3.6	0.15	female
1	11.1		68	3.3	0.625	female
1	9.7	243	68	3.3	0.478	female
1	7.6	252	68	3.8	0.373	female
1	7.5	278	71	3.5	0.353	female
1	13.5	269	68	3.5	0.716	female
1	9.7	277	69	4	0.486	female
1	10.9	255	66	3.6	0.771	female
1	8.3	252	66	3.4	0.495	female
2	7.1	267	68	3.6	0.446	female
2	7	279	70	4.3	0.384	female
2	12	260	67	3.9	0.723	female
2	7.9	259	68	3.4	0.373	female
2	3.1	276	72	3.9	0.048	female
2		264	68	3.2	0.143	female
2	8.8	260		3.2	0.597	female
2	19	246	69	3.4	1	female
3	7	247	67	3.3	0.481	female
3	16.9	246		3.2	0.977	female
3	5.3	256	70	3.8	0.395	female
3	9	266	70	3.3	0.539	female
3	11.7	251	70	3.3	0.716	female
3	5.9	259	70	3.6	0.401	female
3	3.4	270	71	3.9	0.06	female
3	10.7	277	70	3.7	0.699	female
3		259	69	3.6	0.722	female
3	4.5	261	68	3	0.311	female
4	4.4	277	70	3.8	0.062	female
4	9.1	266	68	3.5	0.796	female
4	18.5		67	3.6	0.982	female
4	10.7	277	71		0.753	female
5		258	68	3.7	0.97	female
5	7.2	265		3.5	0.44	female
5	12.4	269	69	3.2	0.76	female
5	5.3	250	69	3.4	0.282	female
0	8.7	393	78	4.7	0.601	male
0	6.5	362	78	4.6	0.293	male
0	8.1	328	74	4.1	0.388	male
1	5.9	274	71	3.4	0.364	male
1	6.4		75	4.2	0.429	male
1	6.6	348	77	4.6	0.303	male
1	9.8	384	80	4.3	0.659	male
2	12.8	338	76	3.7	0.808	male
2	6.4	303	75	4.3	0.2	male
2	12.4	442	76	4.8	0.772	male
3	9.2	364	73	5.2		male
3	3.6	402	80	4.3	0.046	male
3	6.1	400	80	4.8	0.215	male
3	7.5	424	82	4.7	0.441	male
3	6.6	342	71	4.1	0.266	male
3	7.5	393	70	3.9	0.452	male
3	11.4	421	79	5	0.67	male
3	12	347	78	3.9	0.803	male
3	6.8	374		3.8	0.388	male
3	5.5	482	80	3.9	0.303	male
3		385	79	4	0.904	male
3	3.3	373	79	4.1	0.001	male
4	999	366	73	4.4	0.931	male
4	9.6	369	79	3.9	0.76	male
4	6.8	303	78	4.1	0.394	male
4	4.6	376	78	4.1	0.181	male
4	10.6	341	75	4.1	0.564	male
4	7.2	352	76	4	0.372	male
4	4	385	75		0.087	male
4	9.1	442	80	4.7	0.557	male
4	9.2	1	77	4.4	0.392	male
4	10.5	338	75	4.2	0.68	male
4	6.3	342	77	3.7	0.255	male
4	47	310	74	3.9	0.593	male
4	12	351	73	3.8	0.822	male
4	9.6	471	80	4.2	0.601	male
4	9.6	371	80	4.1	0.435	male
4	8.3	427		4.6	0.454	male
4	5.3	313		4.4	1.391	male
4	3.9	350	73	4.3	0.023	male
4		296	69	4.2	0.997	male
4	9.4	424	79	4.6	0.511	male
4	11.4	548	79	4.9	-0.736	male
4	7.2	385	77	4.2	0.464	male
4	3.1	396	81	3.8	0.006	male
4	3.3	1001	71	4.4	0.09	male
4	11.8	424	80	4.3	0.78	male
4	5.5	331	73	4	0.255	male
4	4.2	346	76	4.2	0.2	male
5	3.2	325	73	3.9	0.025	male
5	16.8	354	78	4.5	0.97	male
5	8.2	342	77	4.8	0.346	male
5	6.6	417	80	4.4	0.306	male
5	9.5	323	75	3.8	0.685	male
5	16.1	390	77	4.1	0.95	male
5	5.2	288	75	3.9	0.228	male
5	11.6		76	4.5	0.678	male
5	6.2	360		4.5	0.239	male
5		329	79	4.2	0.19	male
5	3.4	339	75	4.6	0.039	male
5	4.3	422	75	4.5	0.126	male
5	6.3	310	75	3.6	0.368	male
5	6.8	351	74	4	0.425	male
5	15	360	78	4.6	0.969	male
5	5.4	344	74	4.1	0.167	male
5	4.9	473	80	4.9	0.22	male
5	9.8	395	77	4	0.574	male
5	12.5	475	81	5	0.832	male
5	16.1	340	77	4.4	0.968	male
5	7.3	422	76	4.3	0.362	male
5	10.3	323	76	4.1	0.603	male
5	8.2	324	75		0.509	male
0	3.1	214	68	3.3	0.03	male
0	3.5	300		3.7	0.134	male
0	0.6	77	48	2.4	0.029	male
0	1.9	221	57	2.9	0.02	male
0	0.7	47	45	2.4	0.027	female
0	1.2	73	51	2.7	0.052	female
0	3.7	326	68	3.9	0.064	male
0	2.4	217	60	3.4	0.05	female
0	1	106	52	2.5	0.021	female
0	1.2	69	49	2.7	0.023	male
0	2.6	220	65	3.3	0.068	male
0	0.3	57	46	2.3	0.016	male
0	1.7	126	55	2.9	0.07	female
0	3.9	282	78	4.2	0.023	male
0	1.3	50	52	2.9	0.065	female
0	3.8	325	73	3.9	0.141	male
0	1.7	220	56	3.1	0.043	male
0	1.4	179	57	3	0.05	female
