Age	Weight	Length	PawCircumference	NoseBlack	Sex
3.400000095	321	69	3.5	0.085000001	male
2.200000048	239	58	3.299999952	0.101999998	male
2.799999952	192	60	3.400000095	0.128999993	female
1.5	129	50	3	0.035	female
0.600000024	56	46	2.700000048	0.021	female
1.299999952	116	52	2.599999905	0.043000001	male
1.600000024	108	57	2.799999952	0.003	female
1.799999952	241	57	3	0.090999998	male
1.799999952	148	56	2.900000095	0.043000001	female
1.799999952	212	56	3	0.013	female
2.099999905	209	63	3.099999905	0.013	female
2.299999952	235	55	3.299999952	0.052999999	male
1.399999976	87	53	3	0.057	male
0.800000012	93	51	2.5	0.002	female
3.200000048	235	63	3.700000048	0.023	male
2	161	58	3	0.022	male
2.299999952	117	59	3.299999952	0.108999997	female
3.299999952	251	68	3.700000048	0.088	male
1.899999976	199	60	3	0.035999998	male
0.800000012	108	47	2.5	0.027000001	female
0.5	104	48	2.400000095	0.023	female
1.600000024	118	53	3.099999905	0.044	male
4.199999809	311	69	4.199999809	0.041999999	male
2.299999952	237	60	3.400000095	0.082000002	male
1.799999952	53	58	2.900000095	0.045000002	female
1.600000024	135	56	2.599999905	0.077	female
2.799999952	292	71	3.5	0.037999999	male
2.5	237	63	3.299999952	0.103	male
4.400000095	363	78	4.300000191	0.041999999	male
1.100000024	78	51	2.599999905	0.046	female
3	247	68	3.400000095	0.066	female
13.30000019	264	69	3.599999905	0.832000017	female
7.599999905	260	69	3.700000048	0.252000004	female
19.79999924	261	70	3.400000095	0.996999979	female
7.099999905	349	80	4.900000095	0.409999996	male
14.60000038	257	68	3.400000095	0.819000006	female
3.200000048	263	69	3.599999905	0.165999994	female
7.099999905	283	68	3.299999952	0.291999996	female
10.10000038	334	74	4.5	0.577000022	male
16.5	416	80	4.199999809	0.964999974	male
14.30000019	258	69	3.400000095	0.829999983	female
5.199999809	420	80	3.799999952	0.25	male
6	384	75	4.800000191	0.372999996	male
17.5	293	71	3.700000048	0.998000026	female
8.699999809	388	75	4.400000095	0.541999996	male
6.699999809	268	71	3.700000048	0.412	female
5.300000191	269	70	3.5	0.375	female
13	315	71	4	0.748000026	male
11.80000019	346	78	4.400000095	0.773000002	male
3.099999905	376	79	4.599999905	0.037999999	male
9.699999809	347	75	3.599999905	0.653999984	male
14.30000019	263	67	3.599999905	0.898999989	female
17.5	247	68	3.200000048	1	female
4.099999905	275	72	3.599999905	0.115000002	female
7	454	77	4.199999809	0.375999987	male
5.599999905	347	74	4.699999809	0.184	male
11.30000019	246	66	3.799999952	0.760999978	female
15.80000019	350	79	5	0.963	male
4.699999809	272	70	3.599999905	0.200000003	female
6	376	78	4.900000095	0.221000001	male
7.900000095	317	73	4.099999905	0.409000009	male
11	268	71	3.599999905	0.80400002	female
3.700000048	264	68	3.599999905	0.208000004	female
3.700000048	345	75	3.799999952	0.098999999	male
10.10000038	420	82	3.799999952	0.731999993	male
16.10000038	279	69	3.700000048	0.950999975	female
7.300000191	256	67	3.400000095	0.270999998	female
10.5	367	77	3.900000095	0.628000021	male
6.5	410	79	4.5	0.335999995	male
7.199999809	355	76	4.400000095	0.379000008	male
8	262	74	3.299999952	0.551999986	male
5.400000095	267	68	3.5	0.321999997	female
14.5	428	77	4.400000095	0.907999992	male
4	425	82	5	0.180000007	male
13.89999962	293	71	4.599999905	0.81400001	male
4.5	386	76	4.599999905	0.228	male
9	371	75	4.400000095	0.606000006	male
15.10000038	274	69	3.700000048	0.818000019	female
7.599999905	396	77	3.5	0.541999996	male
17.60000038	271	70	3.900000095	0.972000003	female
6.900000095	363	77	4.300000191	0.493000001	male
8.600000381	262	71	3.400000095	0.43900001	female
3.200000048	316	71	4.099999905	0.050000001	male
6.900000095	372	78	5.099999905	0.363999993	male
6.5	260	70	3.799999952	0.425000012	female
5.800000191	254	67	3.400000095	0.291000009	female
10.5	318	75	4.400000095	0.740999997	male
6.199999809	262	70	3	0.414999992	female
4.5	247	68	3.5	0.115000002	female
8.5	435	75	4.800000191	0.630999982	male
3.299999952	351	77	4.300000191	0.191	male
10.80000019	325	73	3.299999952	0.660000026	male
10.10000038	363	75	4.199999809	0.680000007	male
10.30000019	266	69	4	0.637000024	female
6.900000095	389	78	4.199999809	0.455000013	male
12.5	261	67	3.700000048	0.811999977	female
13	288	71	4	0.708999991	female
10.60000038	263	69	3.200000048	0.699999988	female
8.300000191	352	76	5.099999905	0.43599999	male
7.699999809	275	72	3.900000095	0.319000006	female
5.300000191	467	75	4.300000191	0.180000007	male
15.30000019	346	84	4.199999809	0.847000003	male
5.900000095	282	72	3.599999905	0.488000005	female
3.5	265	69	3.299999952	0.075999998	female
10.89999962	264	70	3.599999905	0.610000014	female
6.699999809	373	82	3.900000095	0.246999994	male
6.099999905	271	69	3.799999952	0.259000003	female
4.599999905	249	67	3.799999952	0.039000001	female
3.700000048	248	66	3.299999952	0.25999999	female
7.699999809	266	67	3.5	0.535000026	female
4.199999809	266	69	3	0.057	female
3.599999905	258	68	3.700000048	0.094999999	female
15.5	269	70	3.599999905	0.943000019	female
13.89999962	273	70	3.900000095	0.901000023	female
8.699999809	257	67	3.299999952	0.592999995	female
4.099999905	270	68	3.599999905	0.097000003	female
10.80000019	276	71	3.400000095	0.67900002	female
11.19999981	263	68	3.200000048	0.698000014	female
9.199999809	449	79	4.400000095	0.574999988	male
10.89999962	424	76	4.5	0.720000029	male
