Age	NoseBlack	PawCircumference	Weight	Length	Sex
17	-0.967999995	3.299999952	273	67	female
1.299999952	0.001	2.900000095	116	54	female
1.899999976	0.002	2.900000095	141	58	female
0.300000012	0.003	2	56	48	male
999	0.005	4.199999809	358	79	male
0.800000012	0.006	2.700000048	38	48	male
0.699999988	0.007	2.5	12	47	female
1.200000048	0.009	2.799999952	1	55	male
0.699999988	0.009	2.599999905	58	44	female
3.700000048	0.01	3.700000048	288	72	female
-500	0.012	3.900000095	271	69	male
0.800000012	0.014	2.400000095	53	-500	female
1.200000048	0.015	3	57	53	male
4.300000191	0.017999999	4	350	77	male
3.599999905	0.017999999	3.400000095	266	70	female
-500	0.02	2.400000095	60	47	female
1.200000048	0.02	2.900000095	1	-500	female
0.600000024	0.02	2.299999952	20	47	female
1.200000048	0.026000001	2.700000048	103	53	male
3	0.028000001	4.599999905	441	79	male
0.899999976	0.028999999	2.700000048	90	50	female
0.800000012	0.029999999	2.5	50	-500	female
2.200000048	0.029999999	3.400000095	189	64	male
1.100000024	0.033	2.799999952	91	50	female
3	0.033	3.900000095	309	-500	male
3.200000048	0.034000002	3.599999905	240	-500	female
3.5	0.035999998	4.300000191	399	75	male
1.100000024	0.037999999	2.700000048	139	47	male
1.700000048	0.039999999	2.900000095	144	57	female
3.700000048	0.041000001	3.200000048	258	-500	female
-500	0.041000001	4.099999905	363	74	male
4.099999905	0.041999999	5	386	76	male
-500	0.041999999	2.5	129	50	male
0.899999976	0.045000002	2.5	50	49	female
2.900000095	0.048	3.599999905	254	62	female
4.400000095	0.048999999	4.400000095	354	75	male
1.200000048	0.050000001	2.400000095	109	57	female
3.900000095	0.052000001	3.700000048	334	77	male
2.900000095	0.054000001	3.700000048	168	62	female
1.200000048	0.055	2.599999905	137	-500	female
3.099999905	0.056000002	3.5	332	74	male
1.799999952	0.057999998	3.099999905	148	58	female
3.5	0.059	3.799999952	295	69	male
0.100000001	0.061999999	4.300000191	385	76	male
4	0.063000001	4	341	76	male
4.5	0.064000003	3.900000095	404	82	male
-500	0.066	5.099999905	398	79	male
-500	0.068000004	3.299999952	159	59	female
2.200000048	0.068999998	3.099999905	141	58	male
3	0.07	4.599999905	384	72	male
4.300000191	0.071000002	3.299999952	335	74	male
2.599999905	0.071999997	3.599999905	230	63	female
3.599999905	0.074000001	3.900000095	386	74	male
3.099999905	0.075000003	3.900000095	360	73	male
4.800000191	0.078000002	3.700000048	285	72	female
3.200000048	0.078000002	4.800000191	319	73	male
4.699999809	0.079000004	3	216	67	female
3.799999952	0.081	4.699999809	413	76	male
2	0.088	3.099999905	116	61	male
2.099999905	0.089000002	2.700000048	137	58	male
3	0.097000003	3.799999952	253	68	male
2.400000095	0.097999997	3.5	262	63	female
3.799999952	0.101999998	3.900000095	341	76	male
4.199999809	0.104000002	4.099999905	346	74	male
2.400000095	0.107000001	2.900000095	237	62	female
2.5	0.108000003	3.400000095	194	61	female
5.599999905	0.109999999	3.200000048	273	67	female
5.5	0.112999998	4.099999905	435	80	male
3.5	0.114	4.5	372	80	male
4	0.118000001	4.099999905	380	78	male
-500	0.119999997	-500	362	73	male
2.599999905	0.123000003	3.299999952	261	63	female
5.400000095	0.123999998	5.099999905	307	75	male
3.599999905	0.127000004	4.199999809	375	76	male
4.199999809	0.128000006	4.300000191	413	79	male
3.599999905	0.162	4.5	361	75	male
4.400000095	0.166999996	4.300000191	345	71	male
5.199999809	0.172999993	3.599999905	243	66	female
4	0.175999999	3.799999952	335	77	male
5.099999905	0.180999994	4.300000191	323	77	male
4.300000191	0.188999996	3.700000048	285	69	female
5.699999809	0.194999993	3.5	268	68	female
4.300000191	0.196999997	4.199999809	366	76	male
5.800000191	0.200000003	4.400000095	342	72	male
3.900000095	0.206	3.799999952	314	-500	male
5.300000191	0.208000004	4.099999905	329	76	male
5.599999905	0.213	3.5	294	73	male
4.400000095	0.238999993	4	277	70	female
5.5	0.240999997	4.599999905	393	77	male
5.800000191	0.246000007	4.400000095	377	74	male
-500	0.25	3.599999905	414	77	male
5.699999809	0.250999987	4.199999809	418	82	male
6.099999905	0.254999995	3.400000095	250	71	female
5.300000191	0.257999986	4.699999809	423	77	male
6.400000095	0.25999999	3.599999905	268	66	female
5.300000191	0.284999996	3.400000095	286	78	male
4.5	0.291000009	4.5	431	73	male
5.400000095	0.296000004	3.5	247	68	female
4.599999905	0.298000008	4.599999905	365	73	male
7	0.300000012	3.200000048	261	67	female
4.599999905	0.300999999	4.5	314	71	male
5.5	0.307000011	3.599999905	260	71	female
-500	0.310000002	4.300000191	415	78	male
5	0.312000006	4.300000191	345	78	male
5.199999809	0.314999998	3.5	248	67	female
-500	0.317999989	3.099999905	337	77	male
5.400000095	0.333000004	4	354	73	male
6.099999905	0.338999987	3.599999905	261	73	female
7	0.351000011	4.5	364	73	male
7	0.367000014	3.400000095	249	69	female
7.900000095	0.367000014	4.099999905	328	73	male
-500	0.393000007	3.5	257	68	female
6.699999809	0.400000006	3.599999905	261	65	female
7.199999809	0.404000014	4.5	355	78	male
8.199999809	0.412	4.5	330	76	male
8.100000381	0.412999988	3.700000048	358	77	male
-500	0.419999987	3.700000048	274	70	female
6.5	-0.426999986	3.299999952	325	71	male
6.900000095	0.435000002	4.599999905	390	80	male
7.400000095	0.43599999	4.199999809	429	79	male
6.5	0.446999997	4.400000095	396	81	male
7	0.451000005	3.700000048	275	-500	female
6.400000095	0.456999987	4.099999905	393	76	male
7.800000191	0.460999995	4.400000095	341	76	male
8.199999809	0.47299999	3.5	271	71	female
-500	0.474000007	-500	251	69	female
6.800000191	0.474999994	4.199999809	383	83	male
8.100000381	0.476000011	3.200000048	272	69	female
8	0.476999998	3.799999952	263	68	female
8.100000381	0.504000008	4.699999809	364	76	male
6.400000095	0.515999973	4.099999905	471	80	male
9.300000191	0.515999973	3.5	273	68	female
8.100000381	0.519999981	3.5	252	68	female
-500	0.560000002	4.699999809	410	77	male
9.800000191	0.569000006	3.400000095	262	68	female
8.199999809	0.574999988	4.900000095	397	80	male
9.300000191	0.575999975	4.800000191	371	74	male
10.10000038	0.586000025	3.900000095	251	68	female
10	0.591000021	3.799999952	290	67	female
9.399999619	0.598999977	4.099999905	310	72	male
10.30000019	0.601999998	3.099999905	249	67	female
10.80000019	0.624000013	3.400000095	262	65	female
10	0.629999995	3.299999952	271	69	female
7.300000191	0.629999995	3.599999905	270	69	female
10.5	0.663999975	4.099999905	353	72	male
10.39999962	0.670000017	4.599999905	405	72	male
10.10000038	0.681999981	4.400000095	423	77	male
11.30000019	0.690999985	3.299999952	282	72	female
-500	0.697000027	3.900000095	409	79	male
10.80000019	0.700999975	4.300000191	403	77	male
11.30000019	0.730000019	4.5	398	77	male
10.5	0.734000027	3.299999952	247	65	female
11.5	0.736999989	4.099999905	421	75	male
12.10000038	0.740999997	3.400000095	264	71	female
12.39999962	0.744000018	4.599999905	412	76	male
12.39999962	0.745999992	4.400000095	381	78	male
10.60000038	0.753000021	3.900000095	273	71	female
13	0.754999995	4.900000095	366	75	male
11.89999962	0.763999999	3.700000048	263	70	female
12.10000038	0.768000007	3.5	271	71	female
-500	0.791000009	4.400000095	418	77	male
11.30000019	0.791999996	3.599999905	263	71	female
11.89999962	0.796000004	3.799999952	332	-500	male
12	0.799000025	4.599999905	274	76	male
-500	0.802999973	3.599999905	246	69	female
12.10000038	0.828999996	3.599999905	271	-500	female
14.30000019	0.829999983	4.300000191	335	74	male
11.39999962	0.839999974	4.300000191	367	76	male
12.80000019	0.852999985	3.799999952	275	71	female
15	0.853999972	4.400000095	359	74	male
13	0.859000027	4.800000191	393	73	male
14.10000038	0.870000005	3.5	281	68	female
13.89999962	0.870999992	4.800000191	392	77	male
13.19999981	0.871999979	3.099999905	249	67	female
13.89999962	0.873000026	3.400000095	257	69	female
14.80000019	0.875999987	3	260	67	female
14.39999962	0.879000008	3.5	259	67	female
-500	0.890999973	4.400000095	325	77	male
12.89999962	0.897000015	3.599999905	260	70	female
13.60000038	0.910000026	3.5	261	67	female
13.39999962	0.912	3.5	251	69	female
15.10000038	0.922999978	4.599999905	449	81	male
-500	0.933000028	-500	263	68	female
15.39999962	0.93900001	3.799999952	263	68	female
13.5	0.94599998	4.599999905	409	77	male
16.10000038	0.949000001	4.300000191	328	77	male
17.89999962	0.954999983	3.599999905	260	68	female
17.20000076	0.963	3.299999952	251	70	female
17.5	0.968999982	4.599999905	431	78	male
-500	0.970000029	3.900000095	333	73	male
17.20000076	0.984000027	3.900000095	409	74	male
-500	0.991999984	-500	265	71	female
17.39999962	0.995999992	3.299999952	257	67	female
19.39999962	0.998000026	3.400000095	274	69	female
19.60000038	1	4.5	381	78	male
20.10000038	1	3.200000048	263	68	female
5.900000095	1.417999983	3.400000095	255	69	female
2.400000095	-500	3.299999952	-500	60	female
1.200000048	-500	2.700000048	-500	52	male
4.099999905	-500	4.599999905	-500	76	male
